"time","A244T.CSH.Ca_Mg_swap_1.1","A244T.CSH.Ca_Mg_swap_1.2","A244T.CSH.Ca_Mg_swap_1.3","A244T.RKS.Ca_Mg_swap_1.1","A244T.RKS.Ca_Mg_swap_1.2","A244T.RKS.Ca_Mg_swap_1.3","A244T.RKS_mod.Ca_Mg_swap_1.1","A244T.RKS_mod.Ca_Mg_swap_1.2","A244T.RKS_mod.Ca_Mg_swap_1.3","N274Y.CSH.Ca_Mg_swap_1.1","N274Y.CSH.Ca_Mg_swap_1.2","N274Y.CSH.Ca_Mg_swap_1.3","N274Y.RKS.Ca_Mg_swap_1.1","N274Y.RKS.Ca_Mg_swap_1.2","N274Y.RKS.Ca_Mg_swap_1.3","N274Y.RKS_mod.Ca_Mg_swap_1.1","N274Y.RKS_mod.Ca_Mg_swap_1.2","N274Y.RKS_mod.Ca_Mg_swap_1.3","N445K.CSH.Ca_Mg_swap_1.1","N445K.CSH.Ca_Mg_swap_1.2","N445K.CSH.Ca_Mg_swap_1.3","N445K.RKS.Ca_Mg_swap_1.1","N445K.RKS.Ca_Mg_swap_1.2","N445K.RKS.Ca_Mg_swap_1.3","N445K.RKS_mod.Ca_Mg_swap_1.1","N445K.RKS_mod.Ca_Mg_swap_1.2","N445K.RKS_mod.Ca_Mg_swap_1.3","P421L.CSH.Ca_Mg_swap_1.1","P421L.CSH.Ca_Mg_swap_1.2","P421L.CSH.Ca_Mg_swap_1.3","P421L.RKS.Ca_Mg_swap_1.1","P421L.RKS.Ca_Mg_swap_1.2","P421L.RKS.Ca_Mg_swap_1.3","P421L.RKS_mod.Ca_Mg_swap_1.1","P421L.RKS_mod.Ca_Mg_swap_1.2","P421L.RKS_mod.Ca_Mg_swap_1.3","tRNA-Ile2.CSH.Ca_Mg_swap_1.1","tRNA-Ile2.CSH.Ca_Mg_swap_1.2","tRNA-Ile2.CSH.Ca_Mg_swap_1.3","tRNA-Ile2.RKS.Ca_Mg_swap_1.1","tRNA-Ile2.RKS.Ca_Mg_swap_1.2","tRNA-Ile2.RKS.Ca_Mg_swap_1.3","tRNA-Ile2.RKS_mod.Ca_Mg_swap_1.1","tRNA-Ile2.RKS_mod.Ca_Mg_swap_1.2","tRNA-Ile2.RKS_mod.Ca_Mg_swap_1.3","WT.CSH.Ca_Mg_swap_1.1","WT.CSH.Ca_Mg_swap_1.2","WT.CSH.Ca_Mg_swap_1.3","WT.RKS.Ca_Mg_swap_1.1","WT.RKS.Ca_Mg_swap_1.2","WT.RKS.Ca_Mg_swap_1.3","WT.RKS_mod.Ca_Mg_swap_1.1","WT.RKS_mod.Ca_Mg_swap_1.2","WT.RKS_mod.Ca_Mg_swap_1.3"
0,0.0895,0.092,0.0916,0.0888,0.0905,0.0909,0.0892,0.0903,0.09,0.0904,0.0896,0.0907,0.0907,0.0905,0.0901,0.0914,0.0893,0.0908,0.09,0.0905,0.0921,0.0892,0.0902,0.0909,0.0896,0.0895,0.0911,0.09,0.0911,0.0911,0.0903,0.0897,0.09,0.0898,0.0897,0.0904,0.0904,0.0904,0.0912,0.0893,0.0904,0.0905,0.09,0.0893,0.0904,0.0901,0.0903,0.0915,0.0902,0.0898,0.0896,0.0891,0.0889,0.09
0.16666,0.0892,0.0903,0.0901,0.089,0.0893,0.0899,0.089,0.0889,0.0899,0.09,0.089,0.0898,0.0907,0.0901,0.0891,0.0908,0.0888,0.0895,0.09,0.0905,0.0918,0.0904,0.091,0.0903,0.0894,0.0892,0.0902,0.0897,0.0905,0.09,0.0905,0.0902,0.0898,0.09,0.088,0.0904,0.0904,0.0897,0.0901,0.0892,0.0905,0.0894,0.0903,0.0893,0.0891,0.0901,0.0901,0.0907,0.0909,0.0905,0.0899,0.0894,0.0898,0.09
0.3333525,0.0893,0.0909,0.0903,0.0896,0.0892,0.0909,0.0891,0.0888,0.0888,0.0902,0.0892,0.0894,0.0912,0.0893,0.0884,0.0907,0.0883,0.0888,0.09,0.0908,0.0914,0.0904,0.0904,0.0896,0.0897,0.0896,0.0898,0.0899,0.0894,0.0903,0.0911,0.0887,0.0888,0.0887,0.088,0.0899,0.0893,0.0902,0.0898,0.0891,0.0901,0.089,0.0902,0.0888,0.0895,0.0903,0.0908,0.0902,0.0912,0.0912,0.0895,0.0896,0.0893,0.0894
0.500052222222222,0.0893,0.0898,0.0904,0.0891,0.0888,0.0905,0.0892,0.0883,0.0891,0.0896,0.0891,0.0889,0.0911,0.0896,0.089,0.0905,0.088,0.0891,0.0902,0.0906,0.0908,0.0904,0.0895,0.0893,0.0893,0.0895,0.0893,0.0897,0.0886,0.0906,0.091,0.0884,0.0894,0.0878,0.0886,0.0885,0.0891,0.0899,0.0891,0.0888,0.0901,0.0892,0.0902,0.0887,0.0886,0.0905,0.0905,0.0897,0.0907,0.0903,0.0886,0.0892,0.0887,0.0887
0.666747777777778,0.0892,0.09,0.0904,0.0888,0.0886,0.0896,0.0891,0.0882,0.0897,0.0897,0.0886,0.0888,0.0906,0.0896,0.0888,0.0909,0.0886,0.0894,0.0901,0.0898,0.0903,0.0903,0.0895,0.0889,0.0894,0.0888,0.089,0.0894,0.0885,0.0907,0.0903,0.0882,0.089,0.0875,0.0884,0.0885,0.0886,0.0897,0.0894,0.0885,0.0902,0.0885,0.0898,0.0888,0.0881,0.0901,0.0901,0.0895,0.0902,0.0898,0.0885,0.0886,0.0884,0.0883
0.833450833333333,0.0881,0.0903,0.0901,0.0881,0.0892,0.0892,0.0881,0.0883,0.089,0.0893,0.0888,0.0888,0.0901,0.0899,0.0884,0.0899,0.0878,0.089,0.0892,0.0896,0.09,0.0896,0.0891,0.0889,0.0887,0.0884,0.0885,0.0883,0.0884,0.0897,0.0896,0.0888,0.0892,0.0874,0.0885,0.0885,0.0884,0.0899,0.0889,0.0877,0.0904,0.0885,0.0891,0.089,0.0884,0.089,0.0891,0.0894,0.09,0.0896,0.0885,0.0884,0.0881,0.0884
1.00015027777778,0.0882,0.0899,0.0898,0.0881,0.0889,0.0892,0.0875,0.0884,0.0892,0.0891,0.0888,0.089,0.0906,0.0897,0.0886,0.0908,0.0878,0.0891,0.0888,0.0896,0.0899,0.0889,0.0891,0.0886,0.0884,0.0881,0.0887,0.0885,0.0885,0.0893,0.089,0.0883,0.0885,0.0876,0.0883,0.0885,0.0884,0.0894,0.0891,0.0876,0.0905,0.0884,0.0881,0.0889,0.0884,0.0888,0.0892,0.0891,0.0895,0.0895,0.0886,0.088,0.0882,0.0883
1.16684222222222,0.0883,0.0899,0.0902,0.0876,0.0889,0.0887,0.0878,0.0883,0.0885,0.0888,0.089,0.0888,0.0903,0.0898,0.0885,0.0897,0.0879,0.0888,0.0892,0.0894,0.09,0.089,0.0887,0.0886,0.0885,0.0883,0.0882,0.088,0.0885,0.0895,0.089,0.0885,0.0883,0.0873,0.0877,0.0882,0.0878,0.0894,0.0891,0.0876,0.0903,0.0884,0.0889,0.089,0.0884,0.0887,0.089,0.0894,0.0897,0.0894,0.0885,0.0879,0.0878,0.0881
1.33354083333333,0.0884,0.0896,0.0909,0.088,0.089,0.09,0.0882,0.0887,0.0885,0.0897,0.0883,0.0894,0.0901,0.0897,0.0887,0.0902,0.0879,0.0893,0.0891,0.0892,0.0899,0.0895,0.0889,0.0887,0.0884,0.0881,0.0884,0.0887,0.0887,0.0901,0.0894,0.0885,0.0883,0.0875,0.0879,0.0883,0.0881,0.0896,0.0893,0.0885,0.0905,0.0885,0.0889,0.089,0.0889,0.0893,0.0893,0.089,0.0897,0.0893,0.0886,0.088,0.0876,0.0883
1.50024638888889,0.0884,0.0899,0.09,0.0879,0.0887,0.0904,0.088,0.0884,0.0884,0.089,0.0888,0.0888,0.0899,0.0898,0.0881,0.0897,0.0877,0.0887,0.0889,0.0889,0.0898,0.0896,0.0888,0.0886,0.0882,0.0877,0.0882,0.0883,0.0901,0.0899,0.0893,0.0889,0.0883,0.0872,0.0875,0.0884,0.0885,0.089,0.0891,0.088,0.09,0.0882,0.0885,0.089,0.0881,0.0893,0.089,0.089,0.0894,0.089,0.0883,0.0876,0.0875,0.0881
1.66694166666667,0.0878,0.0898,0.0901,0.0878,0.0884,0.0891,0.0871,0.0883,0.0882,0.0897,0.0887,0.0884,0.0903,0.0899,0.0882,0.09,0.0876,0.0887,0.0885,0.0891,0.0897,0.0885,0.0889,0.0887,0.0878,0.0877,0.0883,0.0879,0.0883,0.0898,0.0891,0.0887,0.0882,0.0873,0.0878,0.0879,0.0876,0.0892,0.0889,0.0877,0.0902,0.0886,0.0884,0.089,0.0881,0.0887,0.0892,0.089,0.0895,0.0893,0.0882,0.0877,0.0878,0.0879
1.83363833333333,0.0876,0.0895,0.0891,0.0876,0.0886,0.0889,0.0872,0.0883,0.088,0.0891,0.0886,0.0884,0.0901,0.0897,0.0881,0.0897,0.0875,0.0884,0.0884,0.0889,0.0896,0.0886,0.0888,0.0886,0.088,0.0876,0.0881,0.0877,0.0882,0.0899,0.0887,0.0883,0.0881,0.0875,0.0877,0.0883,0.088,0.0893,0.0893,0.0877,0.0901,0.0883,0.0883,0.0888,0.0881,0.0886,0.0888,0.0891,0.0894,0.0895,0.0884,0.0878,0.0879,0.0881
2.00033888888889,0.0879,0.0898,0.0914,0.0877,0.0885,0.0893,0.087,0.0885,0.0883,0.089,0.0888,0.0891,0.0902,0.0896,0.0882,0.0896,0.0878,0.0882,0.0889,0.0893,0.0896,0.0887,0.089,0.0886,0.088,0.0876,0.0882,0.0884,0.0891,0.0895,0.0889,0.0885,0.0883,0.0874,0.0875,0.0883,0.0884,0.0888,0.089,0.0877,0.0901,0.0883,0.0886,0.0889,0.0878,0.0889,0.0891,0.0889,0.0893,0.0891,0.0883,0.0877,0.0875,0.0882
2.16703611111111,0.0882,0.0897,0.0896,0.0882,0.0888,0.0903,0.0878,0.0885,0.0883,0.089,0.0886,0.089,0.0898,0.0898,0.088,0.0894,0.0877,0.0882,0.0889,0.0889,0.0897,0.0887,0.0888,0.0888,0.0883,0.0876,0.0881,0.0883,0.0885,0.0895,0.0892,0.0886,0.0881,0.0872,0.0877,0.0879,0.0882,0.0891,0.0896,0.0882,0.0901,0.0883,0.0896,0.0889,0.0885,0.089,0.0891,0.089,0.0895,0.0892,0.0884,0.0878,0.0875,0.0883
